AAB ID,AAB Catalogue Number,Library Full Name,Library Sort,Category,Database ID,Department,Title Sort,Title for Print and Web,Full Title,Author (First Name Last Name),Year of Publication,Call Number,Item Record #,"Other contributors, if apply (please be specific such as: Illustrated by John H. Doe or Edited by Charles Smith)",Adoption Goal,Item Description,Note,Image for Print and Web,Image Filename,Conservation Blurb,Preservation Cost,Year,Adopt Status,Adopter ID
2020-012,12,John Miller Burnam Classics Library,Burnam,Preserve for the Future,2262,Classics Library,Cabinet,"Le cabinet des antiques à la Bibliothèque Nationale; choix des principaux monuments de l'antiquité, du moyen-âge & de la renaissance","Le cabinet des antiques à la Bibliothèque Nationale; choix des principaux monuments de l'antiquité, du moyen-âge & de la renaissance ... par m. Ernest Babelon ..",Bibliothèque nationale (France). Département des médailles et antiques,1887,N2025 .A4 1887,i16200342,,1375,,,2020-012,i16200342_2262_leCabinetAntiques,"This is an oversized red half leather binding with marbled paper boards. The leather is suffering from red rot and is friable. The upper board and fly leaf are fully detached. The textblock is dirty with fingerprints and grime throughout. The lower fly leaf is cracked along the gutter and the lower board joint is broken. Conservation staff will surface clean the textblock and consolidate the leather overall. The flyleaves will be repaired, the cover boards reattached, and the leather joint repaired. To protect the binding, it will be housed in a clear polyester jacket. ","$1,300 ",2020,0,
2020-013,13,John Miller Burnam Classics Library,Burnam,Build the Collection,2171,Classics Library,Caere,"Caere e Pyrgi: Il territorio, la viabilità e le fortificazioni","Caere e Pyrgi: Il territorio, la viabilità e le fortificazioni : atti della giornata di studio : Roma, Consiglio nazionale delle ricerche, 1 marzo 2012",Vincenzo Bellelli ,2014,DG70.C39 C347 2014,i82574017,,1000,"This book describes two of the most important centers of the Etruscan civilization. The Classics Library wishes to expand its collecting of Etruscan studies, important for the understanding of classical antiquity in part because of very active commerce among Greeks, Etruscans, and Romans. In addition, much of what we know about Greek pottery, an item of export in itself and/or for its content, comes from Etruscan tombs where Greek vases have been unearthed by archaeologists and grave robbers alike. The early kings of Rome were Etruscan and many religious and magical elements in ancient Rome such as soothsaying were derived from the Etruscans.  ",,2020-013,i82574017_2171_caerePyrgi_001N,,,2020,0,
2020-014,14,John Miller Burnam Classics Library,Burnam,Build the Collection,2168,Classics Library,Marois,Vergilij Marõis dryzehē Aeneadischē bücher,"Vergilij Marõis dryzehē Aeneadischē bücher, von troanischer zerstörung/und uffgang des römischē reichs",Virgil,1515,PA6811.A5 M7 1515,i17869122,Translated by Thomas Murner,5200,"Thomas Murner’s 1515 translation of Virgil's Aeneid, dedicated to the emperor Maximilian I, represented the first German translation of the Aeneid. “This translation is considered one of the most significant translations of the ancient text within German Humanism. Insights into the findings from Murner's Latin model pave the way for outlining his translation practices, revealing both a didactic intent, as well as an attempt to create a complete text that would be intelligible in the German tongue” (Frick, J. The renaissance of an ancient classic: Thomas Murner's translation of Virgil’s 'Aeneid' (Strasbourg, 1515). Zeitschrift für Deutsches Altertum und Deutsche Literatur, 146 (2017), 351-368). ",,2020-014,i17869122_2168_vergilijMarois_001N,,,2020,0,
2020-015,15,John Miller Burnam Classics Library,Burnam,Build the Collection,2169,Classics Library,Picturesque,Picturesque representations of the dress and manners of the Turks,Picturesque representations of the dress and manners of the Turks,Octavian Dalvimart,1814,cl-g GT1400 .D38 1814,i17669662,,1500,"Beautiful color engravings of dress worn during the Ottoman Empire, with full descriptions of each plate and commentary on the lifestyle of a person wearing each example shown; this book is of interest to historians, to those studying the customs and manners of the Ottomans, and to researchers of textiles and cultural studies in general. Plates include Sultana or Odalisk, ladle-bearer, musician, first dragoman, the mufti, a Jew, a dervish, a Tartar, and so on. They are both entertaining, both to gaze at and to read about, and they bring alive the past of a radically different world from the present in a way that no dry historical tome or even a diverting historical novel can do alone.  ",,2020-015,i17669662_2169_picturesqueRepresentations_001N,,,2020,0,
2020-016,16,John Miller Burnam Classics Library,Burnam,Build the Collection,2173,Classics Library,Polyaeni,Polyaeni Strategematon libri octo ex recensione Edvard Woelfflin,"Polyaeni Strategematon libri octo ex recensione Edvard Woelfflin. Itervm recensvit, excerpta Polyaeni e codice Tacticorvm florentino addidit, Leonis imperatoris Strategemata Rvd. Schoelli apographo svbibnxit Ioannes Melber",Polyaenus,1887,PA3404 .P737 1887,i1908772x,,350,"The publishing house of B. G. Teubner in Leipzig was revolutionary in the 19th century for offering scholarly editions of ancient Greek and Latin texts at affordable prices and in a handy pocket format. Their initiative was emulated by many publishers, including the American James Loeb and his Loeb Classical Library editions. The publishing of the most authoritative editions of ancient text, Bibliotheca scriptorum graecorum et romanorum teubneriana, continues to be published to this day and is an essential tool for classical philologists.  ",,2020-016,i1908772x_2173_polyaeni_001N,,,2020,0,
2020-017,17,John Miller Burnam Classics Library,Burnam,Build the Collection,2174,Classics Library,Procli,Procli Diadochi in Platonis Cratylum commentaria,Procli Diadochi in Platonis Cratylum commentaria,edidit Georgius Pasquali,1908,PA3404.P87 Z24 1908,i1851554x,,450,"The publishing house of B. G. Teubner in Leipzig was revolutionary in the 19th century for offering scholarly editions of ancient Greek and Latin texts at affordable prices and in a handy pocket format. Their initiative was emulated by many publishers, including the American James Loeb and his Loeb Classical Library editions. The publishing of the most authoritative editions of ancient text, Bibliotheca scriptorum graecorum et romanorum teubneriana, continues to be published to this day and is an essential tool for classical philologists.  ",,2020-017,i1851554x_2174_Procli_01N,,,2020,0,
2020-018,18,John Miller Burnam Classics Library,Burnam,Build the Collection,2172,Classics Library,Schedia,Drawings for Kazantzakis' Odyssey,Schedia gia tēn Odysseia tou Kazantzaki=Drawings for Kazantzakis' Odyssey,Ghikas,1990,cl-g NC254.G47 A4 1990,i34646851,,500,An example of one of the jewels in our Modern Greek collection – the artist Ghikas’ illustrations for Kazantzakis’ 1938 masterpiece Odyssey: A Modern Sequel. ,,2020-018,i34646851_2172_schediaGiaTenOhysseia_001N,,,2020,0,
2020-019,19,John Miller Burnam Classics Library,Burnam,Preserve for the Future,2261,Classics Library,Traite,Traité de stylistique appliquée au latin,"Traité de stylistique appliquée au latin, par J. Marouzeau ..",Jules Marouzeau,1935,PA25 .S6 t.12,i19584209,,875,,,2020-019,i19584209_2261_Traite_01N,"This is a red quarter cloth binding with red marbled paper boards. The front cover is fully detached and the front decorative fly leaf is torn in numerous locations and in danger of becoming fully detached. Conservation staff will remove the flyleaf and repair, as well as separate the cloth spine prior to relining the textblock spine and reattaching the upper board. This object will be housed in a cloth covered clamshell. ",$825 ,2020,0,
2020-020,20,John Miller Burnam Classics Library,Burnam,Build the Collection,2167,Classics Library,Uncatalogued,"Uncatalogued Venetian Documents, Manuscript","Uncatalogued Venetian Documents, Manuscript",,c. 13th to 17th century,[fly leaf info 39098/101],notcat2167,,25000,"Three volumes of uncataloged Venetian manuscripts containing legal documents. They require analysis by an expert in medieval Venetian legal history as well as knowledge of medieval Italian, Latin, and palaeography. Their interpretation and identification will add to our knowledge of the juris prudence and prosopography of Venice in the medieval and renaissance periods. ",,2020-020,notcat2167_2167_Venetian_01N,,,2020,0,
2020-021,21,College of Engineering and Applied Science Library,CEAS,Build the Collection,2133,Engineering Library,City,The City on Seven Hills,The City on Seven Hills,Caroline Williams,1938,F499.C bW5,i2152788x,,125,"Caroline Williams’ 1938 work brings together her “Spot in Cincinnati” illustrations featured in the Sunday edition of the Cincinnati Enquirer during the 1930s.  Many sketches document long-lost significant buildings, obscure alleys and vistas, and ornate doorways and monuments.  It provides an enjoyable and evocative snapshot of 1930s Cincinnati, highlighting many engineering and architectural feats of the decade.  ",,2020-021,i2152788x_2133_citySevenHills_001N,,,2020,0,
2020-022,22,College of Engineering and Applied Science Library,CEAS,Preserve for the Future,2272,Engineering Library,Co-operative,"The co-operative system of education; a reprint of Bulletin number 37, series of 1916, U.S. Bureau of Education, with additions","The co-operative system of education; a reprint of Bulletin number 37, series of 1916, U.S. Bureau of Education, with additions",Clyde W. Park,1925,LC1046.O3 P3,i13032343,,1000,"University of Cincinnati was the first institution to devise and implement a cooperative education model, also known as “co-op,” starting in 1906. Co-op combines classroom-based education with practical work experience, often in alternating semesters, to integrate disciplinary learning into the on-the-job setting. This bulletin is a government-funded study of the first 10 years of the co-op model at UC.  It explains the structure of co-op at the time, including the balance of academic courses and work placements, and contains many images of students working in co-op settings. ",,2020-022,i13032343_2272_cooperativeSystemEducation,"This is a side stapled limp paper binding from the early 20th century. The paper binding is heavily worn and brittle and has been previously repaired by a well-intentioned custodian with clear packing tape; however, the tape has stained the cover. The edges of the cover and first few pages are torn. Conservation staff will remove the prior tape repair, wash and repair the cover. Tears will be repaired and the cover reattached to the binding. The treated pamphlet will be housed in a manuscript folder for long term storage. ",$800 ,2020,0,
2020-023,23,College of Engineering and Applied Science Library,CEAS,Build the Collection,2260,Engineering Library,First,First Man: The Life of Neil A. Armstrong,First Man: The Life of Neil A. Armstrong,James R Hansen,2005,TL789.85.A75 H36 2005,i8014956x,,100,"Neil Armstrong, famously known as the first man to walk on the moon, holds special significance to the University of Cincinnati. Soon after the Apollo 11 moon landing, he accepted an offer to serve as a professor of aeronautical engineering at UC. Professor Armstrong held this position from 1971-1979 and many alumni, staff and faculty hold fond memories of their experiences with him. First Man is Armstrong’s only official biography and was recently adapted into a feature film of the same name. Author and historian James R. Hanson presents a detailed account of Armstrong’s life and accomplishments, including his experiences at UC.  ",,2020-023,i8014956x_2260_firstMan_001N,,,2020,0,
2020-024,24,College of Engineering and Applied Science Library,CEAS,Build the Collection,2146,Engineering Library,Global,Global Advances in Engineering Education,Global Advances in Engineering Education,"Edited by J.P. Mohsen, Mohamed Y. Ismail, Hamid R. Parsaei and Waldemar Karwowski",2019,T65 .G56 2019,i90758298,,125,"This compilation of research articles concerns the global reshaping of engineering education in response to new needs of the engineering profession.  New instructional methods, greater incorporation of technology, and a growing focus on ethics and leadership skills are critical components for meeting these new demands.  UC’s College of Engineering and Applied Science (CEAS) has dramatically grown its engineering education faculty in recent years, and the department now offers a graduate program in engineering education.  The CEAS Library desires to boost its research-level materials in this discipline, in support of this new graduate program.    ",,2020-024,i90758298_2146_globalAdvances_001N,,,2020,0,
2020-025,25,College of Engineering and Applied Science Library,CEAS,Build the Collection,2135,Engineering Library,Golden,Golden Gate Bridge: History and Design of an Icon,Golden Gate Bridge: History and Design of an Icon,Donald MacDonald and Ira Nadel ,2008,TG25.S225 M33 2008,i61910119,Illustrations by Donald MacDonald,75,"Bridge architect Donald MacDonald presents an engaging tribute to this Art Deco icon located in the San Francisco Bay. The easy-to-read text details sources of inspiration, the design and construction process, and includes 70 charming illustrations by the author himself. The Golden Gate Bridge has a strong connection to the University of Cincinnati – chief engineer of the Golden Gate Bridge project, Joseph B. Strauss, was born and raised in Cincinnati and was an 1892 graduate of UC’s civil engineering program. ",,2020-025,i61910119_2135_goldenGate_001N,,,2020,0,
2020-026,26,College of Engineering and Applied Science Library,CEAS,Build the Collection,2144,Engineering Library,Introduction,Introduction to Engineering Ethics,Introduction to Engineering Ethics,Mike W. Martin and Roland Schinzinger,2010,TA157 .S382 2010,i64178559,,75,"Ethics is a complex and critical component of the engineering professional’s daily work.  This fundamental textbook provides a philosophical framework for ethics, discussions on “micro” (individual level) and “macro” (society at large) issues, and numerous case studies for real-world consideration of moral and ethical concerns.  As incoming engineering and technology students begin their studies at UC, they must be equipped with the best possible resources that enable responsible decision making.  ",,2020-026,i64178559_2144_engineeringEthics_001N,,,2020,0,
2020-027,27,College of Engineering and Applied Science Library,CEAS,Preserve for the Future,2273,Engineering Library,Jane's,Jane's All the World's Aircraft,"Jane's All the World's Aircraft, Volume 1943-44",,1943-1944,TL501 .A57 ,i26793726,,675,"Started by John Frederick Thomas Jane in 1909, Jane’s All the World’s Aircraft is an annual aviation publication that gives detailed specifications and photographs of aircraft from all around the globe. UC Libraries holdings run back to 1912. This valuable and comprehensive reference material stays current with the aviation industry in both civil and military aircraft production. The volume chosen here is from 1943, which is a relevant time in global military history as it is going to have important historical information about the airplanes used during the tail end of World War II.  ",,2020-027,i26793726_2273_Janes_01N,"This is a blue cloth covered binding with the title stamped in the cover with an embossed impression of an airplane. It is suffering from heavy wear and damage to the binding. The spine is nearly fully detached and the spine linings are brittle. Conservation staff will clean the textblock and binding, remove brittle linings and reline. The spine of the textblock will be rebacked. It will be housed in a CoLibri cover and a cloth covered clamshell for long term storage.",$650 ,2020,0,
2020-028,28,College of Engineering and Applied Science Library,CEAS,Preserve for the Future,2274,Engineering Library,Manned,Manned Spacecraft: Engineering Design and Operation,Manned Spacecraft: Engineering Design and Operation,,1964,TL873.P8,i20817277,"Edited by Paul E. Purser, Maxime A. Faget and Norman F. Smith",925,"This text is based on the compilation of a variety of lectures all centering on current state and future developments of manned spacecraft at the time. The NASA Manned Spacecraft Center, Louisiana State University, and the University of Houston are a few of the main contributors, with emphasis ranging from the design of providing space for humans to live, to accommodating other human physiological needs. This technical book was very relevant in its time as it was published in 1964, just 5 years before astronauts walked on the moon.  In celebrating the 50th anniversary of the Apollo 11 lunar landing, we are glad to include a text showing the discoveries and research leading up to this amazing feat.  ",,2020-028,i20817277_2274_Spacecraft_01N,"This is a red cloth covered binding from the 1960’s with a blue and gold label on the title and front cover. Over time, the binding has become severely worn and has been previously repaired with a clear packing tape along the spine. The covers are nearly fully detached and frayed around the edges. The textblock is in good condition. Conservation staff will repair the binding for use by removing the clear packing tape and rebinding the textblock into a new splitboard binding. The original cloth covers will be inlayed into the new covers and the spine will be reused.",$875 ,2020,0,
2020-029,29,College of Engineering and Applied Science Library,CEAS,Preserve for the Future,2269,Engineering Library,Report,Report of the General Committee of the Cincinnati Industrial Exposition,Report of the General Committee of the Cincinnati Industrial Exposition,Cincinnati Industrial Exposition. General Committee,1870,T515.D8 C5,i11455524,,1000,"Between 1870 and 1888, the Cincinnati Chamber of Commerce, Board of Trade and the Ohio Mechanics Institute sponsored the highly-regarded Cincinnati Industrial Expositions. These massive cultural and technological events showcased products of Cincinnati inventors and business owners and provided a wide range of artistic, musical, and horticultural inspiration and entertainments. Exhibitions were held at Cincinnati’s Music Hall and the surrounding areas, including Washington Park. This report details the inaugural exposition that lasted from September 21 to October 15, 1870. The many descriptions of technical inventions of the time paint a portrait of a city and region on the rise that is primed be a major player in the industrial revolution.  ",,2020-029,i11455524_2269_Report_01N,"This is an original binding from 1870 covered in decorative brown cloth with gold and blind stamping along the covers. The binding is in severe condition and the textblock is in poor condition. The binding is detached, the spine is torn in numerous places and the spine linings along the textblock are brittle and failing. The textlbock is split caused by broken and loose sewing. Pages are detached. Conservation staff will conserve the textblock by removing brittle spine linings, resewing, and relining with flexible materials. The cover will be repaired, reattached to the textblock, and rebacked. All the original parts will be retained and reused. ",$950 ,2020,0,
2020-030,30,College of Engineering and Applied Science Library,CEAS,Build the Collection,2145,Engineering Library,So,"So You Want to Be an Engineer?: What to Learn, What to Expect","So You Want to Be an Engineer?: What to Learn, What to Expect",Ray Floyd and Richard Spencer,2015,TA157 .F59 2015,i82472427,,75,"This introduction to the engineering profession reflects on many personal experiences of engineers in laboratory, manufacturing, and other environments.  For the beginning engineering student, it helps to give a perspective on the real-world day-to-day life of a practicing engineer, including specialty areas, product development and testing, engineering tools, and soft skills needed for success.  This text provides highly practical advice for students entering the field and the workforce while also fulfilling our desire to help students succeed both academically and in their pursuit of employment.  ",,2020-030,i82472427_2145_wantToBeEnginner_001N,,,2020,0,
2020-031,31,"College of Education, Criminal Justice and Human Services Library",CECH,Build the Collection,2092,CECH Library,Click,"Click, Clack, Moo: Cows That Type","Click, Clack, Moo: Cows That Type",Doreen Cronin,2000,E CRO,i46216261,Illustrated by Betsy Lewin,75,"Winner of the Randolph Caldecott Award (Honor) and the Bill Martin, Jr. Picture Book Award, Click, Clack, Moo: Cows That Type is a hilarious take on the power of protest and clearly articulated demands – made by cows that find a typewriter – much to the chagrin of a very confused Farmer Brown. Doreen Cronin’s matter-of-fact telling of this improbable tale makes it all the funnier, and Betsy Lewin’s acclaimed illustrations breathe humor and personality into this very unique, albeit dysfunctional, barnyard. Click, Clack, Moo was also named among Publishers Weekly Best Children’s Books, School Library Journal Best Books, and the 100 Best Children’s Books of All Time. ",,2020-031,i46216261_2092_clickclackMoo_001N,,,2020,0,
